operation_id,predicted_material_required
OP_1000,1
OP_1001,1
OP_1002,1
OP_1003,0
OP_1004,1
OP_1005,1
OP_1006,0
OP_1007,1
OP_1008,1
OP_1009,1
OP_1010,1
OP_1011,1
OP_1012,1
OP_1013,1
OP_1014,0
OP_1015,1
OP_1016,0
OP_1017,1
OP_1018,1
OP_1019,0
OP_1020,1
OP_1021,1
OP_1022,0
OP_1023,1
OP_1024,0
OP_1025,0
OP_1026,1
OP_1027,1
OP_1028,0
OP_1029,1
OP_1030,0
OP_1031,0
OP_1032,1
OP_1033,1
OP_1034,0
OP_1035,0
OP_1036,1
OP_1037,0
OP_1038,1
OP_1039,0
OP_1040,1
OP_1041,1
OP_1042,1
OP_1043,1
OP_1044,0
OP_1045,1
OP_1046,1
OP_1047,0
OP_1048,1
OP_1049,1
OP_1050,1
OP_1051,1
OP_1052,0
OP_1053,1
OP_1054,0
OP_1055,1
OP_1056,1
OP_1057,1
OP_1058,1
OP_1059,0
OP_1060,1
OP_1061,1
OP_1062,1
OP_1063,1
OP_1064,1
OP_1065,0
OP_1066,0
OP_1067,1
OP_1068,1
OP_1069,1
OP_1070,1
OP_1071,1
OP_1072,0
OP_1073,1
OP_1074,1
OP_1075,1
OP_1076,0
OP_1077,0
OP_1078,1
OP_1079,0
OP_1080,1
OP_1081,1
OP_1082,1
OP_1083,0
OP_1084,1
OP_1085,1
OP_1086,1
OP_1087,0
OP_1088,1
OP_1089,0
OP_1090,0
OP_1091,1
OP_1092,0
OP_1093,1
OP_1094,1
OP_1095,1
OP_1096,1
OP_1097,1
OP_1098,1
OP_1099,1
OP_1100,0
OP_1101,1
OP_1102,1
OP_1103,1
OP_1104,1
OP_1105,0
OP_1106,0
OP_1107,1
OP_1108,0
OP_1109,1
OP_1110,1
OP_1111,0
OP_1112,1
OP_1113,0
OP_1114,1
OP_1115,1
OP_1116,1
OP_1117,1
OP_1118,0
OP_1119,0
OP_1120,0
OP_1121,1
OP_1122,1
OP_1123,0
OP_1124,0
OP_1125,1
OP_1126,0
OP_1127,1
OP_1128,1
OP_1129,1
OP_1130,0
OP_1131,0
OP_1132,0
OP_1133,1
OP_1134,1
OP_1135,1
OP_1136,1
OP_1137,1
OP_1138,1
OP_1139,1
OP_1140,1
OP_1141,1
OP_1142,1
OP_1143,1
OP_1144,1
OP_1145,1
OP_1146,0
OP_1147,1
OP_1148,1
OP_1149,1
OP_1150,1
OP_1151,0
OP_1152,1
OP_1153,1
OP_1154,1
OP_1155,1
OP_1156,1
OP_1157,1
OP_1158,1
OP_1159,1
OP_1160,1
OP_1161,0
OP_1162,1
OP_1163,0
OP_1164,0
OP_1165,1
OP_1166,1
OP_1167,1
OP_1168,1
OP_1169,1
OP_1170,0
OP_1171,1
OP_1172,1
OP_1173,1
OP_1174,1
OP_1175,1
OP_1176,1
OP_1177,0
OP_1178,0
OP_1179,1
OP_1180,0
OP_1181,1
OP_1182,1
OP_1183,1
OP_1184,1
OP_1185,0
OP_1186,1
OP_1187,1
OP_1188,1
OP_1189,0
OP_1190,1
OP_1191,1
OP_1192,0
OP_1193,1
OP_1194,1
OP_1195,0
OP_1196,1
OP_1197,1
OP_1198,0
OP_1199,1
